,A1,A2,D1,B1,B2,C1,C2
10779,1.23,0.96,0.0,2.86,-0.02,3.53,2.84
10780,2.98,-0.99,1.0,0.97,-0.98,0.14,-0.01
10781,-0.21,1.25,1.0,0.68,0.35,-0.19,1.04
10782,2.2,-0.17,1.0,1.81,-0.08,-0.09,1.72
10783,0.81,-0.32,0.0,0.05,-0.02,2.17,0.03
10784,3.15,0.57,1.0,3.95,-2.76,-0.25,1.19
10785,1.52,0.29,1.0,3.06,0.79,4.86,3.86
10786,0.41,-0.05,1.0,-1.11,-0.01,0.24,-1.12
10787,3.0,0.85,1.0,4.69,-2.02,1.78,2.67
10788,3.19,1.52,0.0,4.37,-1.78,3.59,2.59
10789,3.75,1.06,0.0,4.79,-6.76,-1.03,-1.97
10790,1.87,-0.73,1.0,1.78,-2.01,0.12,-0.22
10791,-0.18,-0.05,1.0,-1.95,-0.0,-1.06,-1.96
10792,2.45,1.09,1.0,2.84,2.85,4.17,5.69
10793,2.0,-0.72,1.0,0.53,1.03,0.46,1.56
10794,0.85,-0.27,1.0,1.96,0.14,2.0,2.1
10795,0.61,-1.75,1.0,-0.33,-0.76,-3.41,-1.09
10796,2.43,-1.13,1.0,1.36,-0.79,0.21,0.57
10797,2.21,1.21,1.0,2.89,0.43,3.99,3.32
10798,3.19,-0.11,1.0,4.01,-0.64,2.81,3.37
10799,0.85,-0.03,1.0,0.08,0.01,-0.34,0.08
10800,2.96,1.07,1.0,2.76,0.33,2.87,3.09
10801,1.79,0.37,0.0,1.89,-1.25,1.34,0.63
10802,2.07,0.0,1.0,2.84,0.0,2.47,2.84
10803,2.46,0.25,1.0,2.88,1.61,4.01,4.49
10804,2.95,0.13,1.0,2.66,-0.18,0.95,2.48
10805,1.6,0.01,0.0,2.54,0.0,2.16,2.54
10806,1.86,-0.13,1.0,0.86,0.2,0.66,1.06
10807,2.9,-0.36,1.0,2.29,-1.52,2.99,0.77
10808,2.99,0.67,0.0,2.57,-0.73,1.34,1.84
10809,2.36,-0.47,1.0,2.97,-1.22,1.54,1.76
10810,2.44,1.3,1.0,4.25,-2.95,2.85,1.3
10811,3.22,-1.75,1.0,1.41,-1.37,0.8,0.04
10812,2.04,-1.21,0.0,1.73,-2.36,0.02,-0.63
10813,1.84,1.53,1.0,5.27,0.55,5.52,5.81
10814,0.33,-0.07,1.0,1.16,0.04,1.86,1.2
10815,0.41,-0.73,1.0,-0.82,-0.15,-1.42,-0.97
10816,2.06,-0.71,1.0,2.35,0.48,1.7,2.83
10817,1.73,0.69,0.0,2.59,0.87,3.99,3.46
10818,2.98,-0.29,1.0,4.06,1.27,3.88,5.33
10819,4.81,0.47,1.0,6.56,1.53,8.45,8.1
10820,2.74,0.98,1.0,3.54,-7.72,-4.7,-4.18
10821,3.16,-0.27,1.0,2.1,0.23,1.82,2.33
10822,2.91,0.61,0.0,2.85,-2.2,-0.39,0.65
10823,3.69,0.12,1.0,2.99,-0.14,1.17,2.85
10824,2.56,1.92,1.0,6.75,-3.75,3.4,3.0
10825,0.64,0.13,1.0,-1.52,-0.12,-2.47,-1.64
10826,0.16,-0.87,0.0,-0.42,0.02,-0.59,-0.4
10827,0.76,-1.08,0.0,0.49,0.29,0.85,0.78
10828,1.51,-0.74,1.0,1.3,0.52,1.79,1.82
10829,2.46,3.48,1.0,5.91,-29.76,-23.98,-23.85
10830,0.25,-0.93,0.0,0.47,-0.18,0.99,0.29
10831,1.52,0.28,1.0,2.01,0.95,1.98,2.97
10832,1.92,-0.2,1.0,2.25,0.68,3.82,2.93
10833,2.62,0.18,1.0,5.58,0.44,5.44,6.02
10834,1.52,-0.35,0.0,1.51,0.59,2.62,2.1
10835,2.4,0.37,1.0,3.36,-0.13,3.35,3.23
10836,1.63,-1.5,1.0,0.54,-2.65,-3.09,-2.12
10837,4.08,0.17,0.0,2.63,-0.5,2.09,2.13
10838,2.6,1.33,1.0,3.57,5.11,9.81,8.68
10839,2.53,0.76,1.0,3.52,2.93,6.44,6.45
10840,3.84,-1.14,0.0,2.64,1.84,3.53,4.49
10841,1.46,0.52,1.0,1.78,1.17,1.47,2.95
10842,0.43,-0.67,1.0,1.3,0.07,2.7,1.37
10843,3.14,-0.18,1.0,3.03,-0.07,3.67,2.96
10844,2.19,-0.67,1.0,1.76,2.18,4.1,3.95
10845,0.77,0.64,1.0,2.78,0.6,3.03,3.38
10846,2.78,-2.3,1.0,1.5,-10.12,-7.58,-8.61
10847,1.74,1.46,1.0,3.32,-2.32,2.45,1.0
10848,0.83,2.07,1.0,4.02,0.98,2.76,5.0
10849,2.54,-0.74,1.0,1.88,-2.31,-1.5,-0.43
10850,2.38,0.61,1.0,1.62,-1.61,1.45,0.01
10851,1.97,-2.06,1.0,-1.16,5.63,5.97,4.47
10852,2.15,0.49,1.0,2.4,-0.52,1.23,1.88
10853,3.2,0.62,0.0,2.48,-1.38,1.36,1.1
10854,2.32,0.08,1.0,1.81,-0.22,1.24,1.59
10855,2.29,-1.99,1.0,-0.8,-1.54,-2.39,-2.34
10856,0.83,1.01,1.0,3.49,-0.69,0.65,2.81
10857,1.78,-1.75,1.0,0.76,4.07,6.42,4.83
10858,1.43,0.35,1.0,2.97,1.03,5.03,4.0
10859,2.93,-1.19,0.0,2.19,0.63,3.1,2.83
10860,1.89,-1.02,1.0,0.66,1.15,2.93,1.8
10861,2.45,-0.17,1.0,2.26,-0.14,2.47,2.12
10862,1.05,1.06,1.0,1.75,0.9,3.19,2.65
10863,3.08,0.01,1.0,4.9,-0.02,2.44,4.88
10864,0.88,-0.66,1.0,-1.01,0.26,-1.71,-0.75
10865,0.25,2.29,0.0,3.82,0.01,5.22,3.83
10866,1.91,-0.02,1.0,3.68,0.01,2.71,3.69
10867,1.96,-0.36,1.0,0.72,-0.72,-1.0,0.0
10868,1.94,0.49,0.0,1.76,0.68,1.29,2.44
10869,3.1,0.26,1.0,3.92,1.12,5.25,5.04
10870,1.03,-1.53,1.0,0.18,-2.46,-1.89,-2.29
10871,2.07,-2.44,1.0,-2.14,3.23,1.27,1.09
10872,2.34,-1.49,0.0,0.81,4.27,4.66,5.08
10873,2.22,0.08,1.0,3.44,-0.32,3.92,3.12
10874,2.75,-2.08,0.0,1.65,4.54,5.84,6.18
10875,2.58,0.3,1.0,2.57,0.61,2.87,3.18
10876,1.42,-0.22,1.0,2.23,-0.07,2.23,2.16
10877,1.55,-0.49,1.0,0.81,-1.08,-2.15,-0.27
10878,2.47,0.77,1.0,2.13,-0.02,1.39,2.11
10879,3.34,0.28,1.0,2.06,-0.39,1.72,1.67
10880,2.59,0.21,1.0,3.22,-0.25,3.84,2.97
10881,3.55,0.84,1.0,5.04,-3.39,-0.57,1.64
10882,-0.11,0.4,1.0,0.76,0.01,2.43,0.76
10883,2.9,0.02,1.0,3.16,-0.03,3.06,3.13
10884,2.98,-0.31,1.0,3.44,1.65,5.55,5.08
10885,1.38,0.08,1.0,1.65,-0.0,1.7,1.64
10886,2.32,-1.04,1.0,0.84,-0.4,1.2,0.44
10887,1.6,-0.16,1.0,2.34,0.16,2.43,2.5
10888,1.78,0.54,1.0,2.74,-0.86,2.04,1.87
10889,2.26,0.08,1.0,3.41,-0.02,2.93,3.39
10890,2.87,0.56,1.0,2.68,3.47,7.39,6.15
10891,2.82,-0.21,1.0,1.29,-0.76,2.13,0.53
10892,3.33,0.49,1.0,4.21,0.77,4.02,4.98
10893,1.96,-1.31,1.0,1.09,-1.68,-0.49,-0.59
10894,1.99,0.07,1.0,2.05,0.06,1.73,2.12
10895,0.29,0.17,1.0,1.63,-0.08,1.0,1.55
10896,0.32,0.26,1.0,2.99,0.06,3.02,3.05
10897,1.81,-0.02,1.0,1.34,-0.0,0.7,1.34
10898,2.56,-1.73,0.0,0.18,0.83,0.54,1.01
10899,3.79,0.54,0.0,5.36,1.7,7.96,7.06
10900,3.34,0.42,0.0,2.52,-1.15,2.25,1.37
10901,1.25,1.94,1.0,3.49,-0.1,2.82,3.39
10902,0.76,-2.5,1.0,-3.34,-3.26,-6.23,-6.59
10903,2.69,0.79,1.0,2.47,-1.64,-1.4,0.84
10904,-0.78,0.62,1.0,-0.43,-0.18,-1.6,-0.61
10905,2.89,-1.52,1.0,-0.4,-2.32,-3.18,-2.72
10906,3.11,-1.34,1.0,1.81,-1.46,0.55,0.35
10907,-0.4,-0.29,1.0,-1.08,0.09,-1.41,-0.99
10908,2.85,0.58,1.0,3.87,-0.64,2.87,3.23
10909,3.36,0.31,1.0,2.09,-0.68,1.95,1.41
10910,1.44,0.09,1.0,0.91,0.2,0.87,1.11
10911,1.24,-0.12,1.0,1.18,0.06,1.86,1.25
10912,2.8,0.45,1.0,1.3,-0.79,0.98,0.51
10913,0.84,-0.2,1.0,1.88,-0.26,0.9,1.62
10914,-0.51,-0.77,0.0,-3.13,-0.55,-2.82,-3.68
10915,-0.29,0.83,1.0,-0.22,0.02,-0.95,-0.2
10916,0.22,1.19,1.0,1.48,0.09,0.45,1.57
10917,3.19,0.9,1.0,5.43,-1.96,3.46,3.47
10918,2.82,1.07,0.0,4.49,2.97,7.48,7.46
10919,1.58,-0.26,1.0,1.16,0.02,1.0,1.17
10920,2.49,-0.93,1.0,3.16,3.78,7.4,6.94
10921,2.96,1.72,1.0,4.57,-5.15,-1.17,-0.58
10922,3.11,-1.44,1.0,0.86,-6.45,-5.07,-5.6
10923,0.99,0.03,1.0,0.87,-0.03,0.33,0.84
10924,2.76,0.29,1.0,4.59,0.09,4.83,4.68
10925,1.78,0.41,0.0,1.77,0.29,0.99,2.06
10926,1.19,0.49,1.0,2.58,-0.69,1.28,1.9
10927,2.47,-1.2,1.0,0.28,4.47,2.7,4.74
10928,2.16,-0.5,1.0,1.4,0.16,0.31,1.56
10929,3.28,-0.5,1.0,2.6,-0.97,2.07,1.62
10930,2.35,0.45,1.0,3.16,-0.99,3.35,2.17
10931,1.63,-0.41,1.0,0.58,0.67,-0.31,1.25
10932,3.43,1.25,0.0,4.94,-4.26,-1.09,0.68
10933,2.32,-0.76,0.0,0.83,-0.81,2.27,0.02
10934,2.72,1.47,1.0,4.78,-1.73,5.05,3.05
10935,0.35,-1.63,1.0,-1.17,1.44,-0.63,0.26
10936,2.79,-1.74,1.0,1.4,-2.37,-1.75,-0.97
10937,1.11,-1.08,1.0,-0.93,-1.33,-2.6,-2.27
10938,2.21,0.46,1.0,2.15,-1.19,0.28,0.95
10939,1.81,0.37,1.0,3.69,0.6,5.89,4.29
10940,3.34,-0.19,1.0,2.99,-0.62,2.21,2.37
10941,0.37,2.8,0.0,3.06,1.84,6.37,4.9
10942,2.3,1.89,1.0,4.66,5.66,9.43,10.31
10943,1.63,1.47,1.0,4.09,0.98,4.38,5.07
10944,2.46,1.1,1.0,4.34,-3.2,2.41,1.13
10945,3.18,1.5,1.0,5.42,-4.63,2.49,0.79
10946,2.03,0.24,1.0,1.84,0.63,2.58,2.48
10947,3.21,0.05,1.0,4.02,0.21,4.28,4.23
10948,0.97,-1.03,1.0,1.11,3.4,4.94,4.51
10949,2.08,-2.1,1.0,1.18,-3.3,-3.57,-2.12
10950,1.84,-1.41,1.0,0.07,-0.63,-0.56,-0.56
10951,1.73,0.22,1.0,1.74,0.41,0.7,2.15
10952,1.75,0.95,0.0,3.32,-1.0,2.41,2.32
10953,1.95,1.01,1.0,2.35,-1.36,-0.03,0.99
10954,1.72,0.67,1.0,2.82,0.67,4.45,3.49
10955,0.43,-0.04,1.0,0.59,-0.02,0.21,0.58
10956,1.17,1.2,1.0,2.5,-0.72,2.72,1.79
10957,1.2,-0.82,1.0,1.22,1.11,2.38,2.33
10958,2.04,-2.67,1.0,0.0,6.21,7.2,6.21
10959,2.06,-2.0,0.0,-0.22,5.1,5.29,4.88
10960,1.74,-0.59,1.0,-1.02,0.41,-3.15,-0.6
10961,1.55,1.27,1.0,3.32,-0.0,3.7,3.31
10962,1.37,0.15,1.0,2.43,0.28,2.77,2.71
10963,2.18,2.03,1.0,2.92,4.74,6.61,7.66
10964,1.74,-0.11,0.0,1.96,0.05,1.99,2.01
10965,2.03,1.34,1.0,2.65,0.13,2.92,2.78
10966,1.16,1.62,1.0,3.22,-3.49,0.03,-0.27
10967,0.69,0.1,0.0,1.52,0.05,1.43,1.57
10968,1.9,0.49,1.0,1.38,0.17,1.63,1.55
10969,2.56,0.6,1.0,2.03,-0.4,1.19,1.63
10970,4.62,0.4,0.0,4.62,-1.76,3.88,2.86
10971,1.74,-1.23,0.0,1.23,-2.19,-1.74,-0.96
10972,-0.85,-1.7,0.0,-1.63,-0.51,-2.14,-2.14
10973,2.09,-0.47,1.0,1.05,0.03,1.94,1.08
10974,3.1,0.62,1.0,2.98,-1.74,0.14,1.25
10975,0.16,-0.3,1.0,-0.41,0.01,-1.12,-0.4
10976,1.27,-0.54,1.0,-0.76,0.15,-0.28,-0.61
10977,-0.39,1.77,1.0,3.79,-0.88,5.77,2.91
10978,2.51,1.33,1.0,4.33,-3.5,2.04,0.83
10979,1.93,-0.55,1.0,0.71,1.68,1.95,2.38
10980,1.89,-1.86,1.0,0.78,-2.59,-2.51,-1.81
10981,2.53,0.99,1.0,2.0,0.9,3.18,2.9
10982,3.45,0.99,1.0,3.81,-3.76,2.02,0.05
10983,2.21,-1.41,1.0,0.55,-0.5,-0.97,0.05
10984,3.23,-0.36,0.0,3.29,1.19,3.81,4.48
10985,1.36,-0.68,1.0,0.41,0.9,-0.06,1.31
10986,3.29,0.39,1.0,2.67,2.42,5.11,5.09
10987,2.63,-3.13,0.0,1.12,-8.84,-9.08,-7.71
10988,2.26,1.14,1.0,4.21,-3.92,1.34,0.3
10989,2.99,-1.21,1.0,2.09,3.34,5.47,5.43
10990,2.18,0.97,1.0,3.28,-0.88,0.87,2.4
10991,1.74,1.71,1.0,4.15,-3.44,0.7,0.71
10992,3.58,-0.15,1.0,2.43,-0.42,3.01,2.02
10993,3.22,0.29,1.0,3.44,0.19,3.25,3.63
10994,2.8,-1.28,1.0,0.85,-1.24,-0.33,-0.39
10995,1.81,1.42,1.0,2.79,-2.28,-0.28,0.51
10996,2.12,-0.36,1.0,1.17,-1.59,-1.34,-0.42
10997,1.79,2.62,0.0,4.1,1.01,5.89,5.11
10998,1.16,0.18,1.0,2.66,-0.28,2.34,2.38
10999,2.22,0.6,1.0,2.8,1.82,3.98,4.62
11000,0.77,1.79,1.0,2.69,1.29,4.89,3.98
11001,1.95,-0.84,0.0,0.38,-1.41,-0.95,-1.02
11002,1.99,0.37,1.0,4.21,0.09,4.3,4.3
11003,1.24,-0.66,1.0,1.32,0.1,2.24,1.42
11004,2.59,-1.0,0.0,3.15,-5.99,-1.85,-2.84
11005,1.48,1.74,1.0,3.44,3.36,7.88,6.81
11006,3.17,-1.26,0.0,3.74,-0.19,3.42,3.54
11007,2.96,0.75,0.0,2.8,1.85,4.08,4.66
11008,0.97,0.3,1.0,1.86,-0.11,2.71,1.74
11009,2.33,-0.94,1.0,-0.0,-0.54,-1.51,-0.54
11010,0.68,-0.21,1.0,-0.52,0.04,-1.24,-0.48
11011,2.93,-0.83,1.0,4.07,1.61,6.34,5.68
11012,2.76,-0.11,1.0,2.87,0.09,5.14,2.97
11013,2.61,1.87,1.0,3.21,-2.11,1.25,1.1
11014,2.11,0.2,1.0,2.32,0.21,2.44,2.53
11015,2.4,0.45,1.0,2.69,0.24,3.34,2.93
11016,1.28,-1.55,1.0,-0.08,1.42,1.33,1.34
11017,2.93,0.49,1.0,1.15,0.31,0.79,1.47
11018,2.38,-1.13,0.0,1.07,-0.67,0.19,0.41
11019,1.64,-0.6,1.0,2.14,0.79,4.72,2.93
11020,1.99,0.96,1.0,3.9,-0.04,5.07,3.86
11021,1.26,0.19,1.0,2.68,-0.06,3.74,2.62
11022,3.88,-0.4,1.0,3.55,1.73,5.56,5.28
11023,1.15,-0.73,1.0,1.24,-0.49,0.94,0.75
11024,2.22,-1.91,1.0,0.13,-0.31,0.33,-0.18
11025,3.03,0.57,0.0,3.7,0.16,3.2,3.86
11026,0.64,0.56,1.0,1.69,-0.28,2.5,1.41
11027,3.05,1.19,1.0,2.79,-1.42,1.16,1.37
11028,0.23,0.03,1.0,1.45,0.01,0.19,1.46
11029,0.82,0.92,1.0,2.58,-0.53,1.41,2.05
11030,2.81,-0.27,1.0,1.94,1.14,2.62,3.08
11031,3.03,1.48,1.0,5.45,-1.89,4.64,3.57
11032,2.77,0.78,1.0,4.09,-3.53,-0.06,0.55
11033,1.86,-1.32,1.0,-0.96,-1.56,-3.23,-2.52
11034,1.59,0.57,1.0,2.77,-1.04,2.74,1.73
11035,2.59,1.37,1.0,3.13,2.61,5.68,5.74
11036,4.46,-0.72,1.0,2.95,0.36,2.99,3.31
11037,3.41,-0.2,1.0,2.7,1.01,3.42,3.71
11038,2.8,-0.38,1.0,3.05,-0.1,3.42,2.95
11039,0.89,-0.37,1.0,-0.42,-0.37,-1.19,-0.79
11040,3.02,0.27,0.0,6.44,-0.27,4.33,6.17
11041,2.99,-1.07,1.0,3.98,1.47,6.4,5.44
11042,1.39,-0.88,1.0,1.87,-0.07,3.04,1.8
11043,1.9,1.41,1.0,2.75,0.86,3.29,3.61
11044,1.75,0.35,1.0,1.91,-0.88,1.17,1.03
11045,1.49,-1.13,1.0,0.69,-0.03,-1.86,0.66
11046,1.79,-0.72,1.0,0.73,-0.08,-0.36,0.66
11047,2.2,0.73,1.0,1.3,-1.11,-0.64,0.2
11048,0.36,1.7,1.0,2.23,0.8,4.13,3.03
11049,2.56,-0.24,1.0,2.57,-0.31,1.75,2.25
11050,0.52,1.29,1.0,2.19,0.1,1.8,2.29
11051,1.89,1.6,1.0,2.7,-2.19,1.54,0.52
11052,2.75,-1.8,1.0,1.11,2.35,5.28,3.46
11053,1.11,0.83,1.0,-0.26,-0.35,-0.6,-0.61
11054,0.15,-0.29,0.0,-0.09,0.01,-0.62,-0.08
11055,2.07,-1.16,1.0,-0.1,0.07,-0.44,-0.03
11056,0.94,-0.16,1.0,1.42,-0.14,1.72,1.28
11057,2.13,0.67,0.0,3.19,-0.36,3.71,2.83
11058,1.83,1.11,0.0,2.94,-0.2,0.24,2.73
11059,1.51,-0.31,1.0,2.81,-0.65,0.23,2.16
11060,1.55,-1.15,0.0,-0.09,-2.93,-3.86,-3.01
11061,0.98,-1.0,1.0,1.39,0.0,0.69,1.39
11062,1.16,-0.1,0.0,1.26,-0.13,1.19,1.13
11063,2.79,-0.42,1.0,3.37,-1.61,2.87,1.76
11064,2.46,-1.55,1.0,-0.93,1.63,0.99,0.7
11065,2.96,-0.24,1.0,0.81,-0.74,-0.62,0.07
11066,1.53,0.89,1.0,0.88,-0.81,1.38,0.07
11067,1.95,0.08,1.0,2.41,0.19,2.34,2.6
11068,2.33,0.09,1.0,2.92,-0.25,2.59,2.67
11069,2.73,-0.79,1.0,2.35,-0.31,1.19,2.03
11070,-0.76,-0.93,1.0,-0.79,-0.55,-1.18,-1.34
11071,0.76,-0.25,1.0,0.21,-0.37,-1.59,-0.16
11072,2.09,-0.26,1.0,3.21,0.38,3.33,3.6
11073,2.41,0.36,1.0,1.44,0.99,1.78,2.43
11074,2.16,-0.09,1.0,0.01,-0.13,-0.21,-0.12
11075,2.39,-0.58,1.0,1.0,1.01,0.45,2.02
11076,2.99,-1.46,1.0,1.36,-9.63,-7.39,-8.27
11077,2.9,0.28,1.0,3.86,-1.64,1.76,2.23
11078,3.88,0.55,0.0,3.88,-3.46,-0.82,0.42
11079,2.06,-0.96,1.0,3.13,-2.61,1.82,0.52
11080,1.35,1.0,0.0,0.25,0.7,1.69,0.95
11081,1.41,-0.79,0.0,1.91,-0.06,1.51,1.84
11082,2.46,1.95,1.0,3.98,-3.21,1.91,0.77
11083,2.08,-1.72,1.0,-0.41,-5.6,-5.22,-6.02
11084,2.5,-1.03,1.0,2.27,0.54,3.35,2.81
11085,0.97,0.29,1.0,-1.12,-0.3,-0.52,-1.42
11086,3.39,1.84,0.0,4.62,-10.45,-5.66,-5.83
11087,2.27,-0.05,0.0,2.17,-0.01,0.82,2.16
11088,0.52,-0.05,1.0,1.0,0.01,-1.34,1.01
11089,0.43,-0.32,1.0,0.08,0.08,0.74,0.15
11090,0.82,1.83,1.0,0.46,2.12,1.86,2.57
11091,1.54,0.38,1.0,0.26,1.27,1.17,1.53
11092,1.07,-0.44,0.0,1.13,0.23,2.53,1.36
11093,2.66,0.08,1.0,1.49,-0.08,1.5,1.41
11094,2.28,1.18,1.0,2.85,1.07,3.17,3.91
11095,2.61,-0.24,1.0,1.58,-0.89,-0.19,0.68
11096,2.69,-0.48,1.0,0.29,-0.72,-0.01,-0.43
11097,0.69,0.51,1.0,-0.28,-0.33,1.21,-0.61
11098,0.61,-1.2,1.0,-0.3,0.73,1.14,0.42
11099,1.59,-2.02,0.0,-1.99,-0.61,-2.49,-2.61
11100,0.9,0.26,1.0,1.51,0.03,1.0,1.54
11101,1.24,-0.62,1.0,0.85,1.14,2.0,1.99
11102,2.01,0.74,1.0,1.78,-2.74,-1.35,-0.95
11103,0.53,-0.54,1.0,0.32,0.08,0.64,0.4
11104,2.46,-2.78,1.0,-0.83,-7.48,-7.88,-8.31
11105,1.16,0.65,1.0,1.38,0.33,1.39,1.71
11106,4.27,-1.13,1.0,2.33,-7.49,-5.2,-5.16
11107,-1.29,0.3,1.0,-0.73,0.3,-1.09,-0.43
11108,1.06,-1.0,1.0,2.45,-0.83,2.29,1.62
11109,0.39,-1.16,1.0,-0.05,-0.42,0.14,-0.47
11110,1.29,-1.29,1.0,0.13,-0.36,0.09,-0.23
11111,0.75,-0.34,1.0,-0.72,-0.18,0.87,-0.89
11112,2.47,-0.35,0.0,0.32,0.11,0.1,0.43
11113,3.21,1.02,1.0,4.9,-1.62,3.26,3.28
11114,1.46,-0.04,1.0,2.18,0.05,2.17,2.23
11115,1.17,0.49,1.0,1.96,-0.42,3.99,1.53
11116,0.87,0.49,0.0,0.27,-0.37,-1.03,-0.1
11117,0.49,-1.77,1.0,-2.22,1.03,-1.8,-1.19
11118,2.16,1.34,1.0,4.36,-3.53,-0.77,0.83
11119,1.48,-0.5,0.0,1.79,-0.38,0.21,1.41
11120,0.84,1.42,1.0,0.79,-0.56,-1.39,0.23
11121,0.84,-1.22,1.0,-0.69,-0.41,-0.0,-1.09
11122,2.06,-0.4,1.0,3.08,-0.07,2.38,3.01
11123,3.1,-0.02,1.0,2.0,-0.08,1.49,1.92
11124,1.95,-0.15,1.0,1.47,0.3,2.01,1.77
11125,1.71,-0.12,1.0,3.02,-0.06,2.96,2.96
11126,2.14,-0.87,1.0,0.87,1.84,4.52,2.71
11127,2.23,-0.51,0.0,0.01,-0.5,1.27,-0.49
11128,1.53,-0.72,0.0,-0.39,0.91,2.02,0.53
11129,2.14,-2.1,1.0,0.34,2.09,2.86,2.42
11130,0.22,0.97,1.0,1.94,-0.21,1.52,1.73
11131,2.13,0.13,0.0,3.16,0.28,4.17,3.44
11132,2.99,0.03,0.0,2.2,0.02,3.33,2.22
11133,1.36,-0.57,1.0,1.14,-1.03,0.06,0.11
11134,1.1,-0.15,1.0,1.5,0.24,3.35,1.75
11135,2.77,-0.56,1.0,3.2,1.45,6.02,4.65
11136,4.63,0.19,0.0,6.76,-0.06,7.46,6.7
11137,1.91,1.18,1.0,3.44,-5.02,-0.98,-1.58
11138,2.06,-0.61,1.0,1.55,0.27,-0.59,1.82
11139,2.51,0.42,1.0,2.9,-2.01,0.72,0.89
11140,1.32,0.3,1.0,1.49,-0.15,2.57,1.34
11141,2.12,-0.59,1.0,1.67,-1.83,0.41,-0.17
11142,3.4,-0.61,1.0,1.3,-0.76,0.12,0.53
11143,2.68,-0.09,0.0,3.46,0.03,3.93,3.49
11144,1.93,1.06,1.0,3.54,-0.68,3.63,2.86
11145,2.27,-1.0,1.0,0.65,-1.98,-1.97,-1.33
11146,2.87,-0.34,1.0,4.53,-0.48,3.27,4.05
11147,-0.13,0.12,1.0,-1.07,0.02,-1.71,-1.05
11148,0.65,-0.63,1.0,-0.11,0.07,0.72,-0.03
11149,2.13,0.7,1.0,2.71,-0.18,1.98,2.53
11150,0.79,-0.36,1.0,-0.51,0.19,-2.08,-0.32
11151,2.49,1.12,1.0,2.38,5.89,8.11,8.28
11152,3.15,-0.12,0.0,3.14,0.54,5.06,3.69
11153,1.25,0.36,1.0,0.85,0.34,1.55,1.2
11154,0.87,-0.19,1.0,-0.03,0.09,-0.89,0.06
11155,0.71,0.15,1.0,1.27,-0.03,0.56,1.24
11156,2.29,-1.18,1.0,1.87,-0.01,1.96,1.86
11157,1.75,-0.39,1.0,1.67,-0.35,0.24,1.33
11158,1.37,0.58,0.0,0.78,0.05,-0.6,0.83
11159,2.14,1.33,1.0,3.32,-3.37,0.9,-0.05
11160,4.0,-0.04,1.0,3.84,-0.13,3.87,3.71
11161,2.11,-1.44,1.0,-0.63,-1.74,-2.41,-2.37
11162,1.71,0.45,0.0,1.69,0.52,1.74,2.21
11163,3.35,0.02,1.0,4.23,0.03,3.22,4.26
11164,0.63,-1.88,1.0,-1.58,1.75,-0.42,0.17
11165,2.38,-0.47,1.0,1.25,0.73,2.01,1.98
11166,3.51,-0.4,0.0,2.86,1.7,6.12,4.56
11167,2.12,-1.21,1.0,0.93,3.03,3.3,3.96
11168,1.83,0.78,1.0,2.49,2.07,4.21,4.56
11169,1.98,0.17,1.0,1.41,-0.7,-1.54,0.71
11170,2.84,0.6,0.0,4.8,-1.09,4.4,3.71
11171,4.56,-0.18,1.0,3.23,-0.41,4.59,2.83
11172,1.24,-0.46,1.0,1.33,0.22,1.55,1.55
11173,1.72,0.72,0.0,2.96,2.45,5.49,5.41
11174,0.84,0.59,1.0,1.67,-0.4,-0.06,1.27
11175,1.76,1.72,1.0,2.81,-4.43,0.86,-1.62
11176,2.15,-0.26,1.0,2.92,-0.65,0.56,2.27
11177,1.95,-0.2,1.0,0.79,-0.2,0.1,0.59
11178,2.62,-0.77,1.0,2.03,-3.85,-1.93,-1.82
11179,1.23,0.37,1.0,1.83,0.22,1.83,2.05
11180,2.98,-0.23,0.0,1.51,-0.07,1.09,1.44
11181,0.54,-0.31,1.0,-0.14,0.24,-1.01,0.1
11182,3.12,0.18,1.0,6.07,0.49,7.04,6.56
11183,3.24,0.57,1.0,4.32,-3.56,0.52,0.76
11184,2.82,-0.05,0.0,3.08,0.12,2.88,3.2
11185,0.95,0.3,1.0,-0.76,0.11,1.19,-0.66
11186,0.89,0.52,1.0,2.39,-0.47,2.73,1.92
11187,2.9,-1.34,0.0,2.22,-0.56,1.89,1.65
11188,0.45,-0.11,0.0,1.96,0.04,2.53,2.01
11189,2.27,-0.76,1.0,3.94,-1.68,0.33,2.26
11190,1.93,1.04,1.0,3.8,-0.72,2.99,3.08
11191,1.88,-1.42,1.0,0.21,1.85,2.58,2.06
11192,2.09,-2.05,1.0,-1.02,-2.22,-2.04,-3.23
11193,3.87,0.32,1.0,4.83,-2.58,1.91,2.25
11194,2.54,0.09,1.0,2.26,0.1,2.28,2.35
11195,2.29,-1.13,0.0,2.63,-0.35,2.22,2.28
11196,2.18,-1.04,0.0,1.18,0.88,2.83,2.05
11197,2.26,0.2,1.0,3.13,-0.52,1.53,2.61
11198,2.22,-1.16,1.0,1.14,-0.7,0.13,0.44
11199,3.31,0.01,1.0,3.87,-0.01,5.27,3.86
11200,2.55,-0.81,1.0,0.72,-0.51,-0.85,0.21
11201,3.13,-0.25,1.0,4.39,-1.5,3.32,2.89
11202,0.67,0.66,1.0,2.2,-0.52,0.57,1.68
11203,3.58,-0.15,1.0,3.49,-0.37,3.47,3.12
11204,2.26,-0.55,1.0,1.8,1.26,4.88,3.06
11205,2.75,-0.87,1.0,2.94,-0.5,1.83,2.44
